City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Lebu,CL,2023-03-14 15:45:39,-37.6167,-73.65,62.87,63,2,7.58
179,Iralaya,HN,2023-03-14 15:45:40,15.0,-83.2333,83.16,67,75,9.71
180,Beloha,MG,2023-03-14 15:45:40,-25.1667,45.05,75.38,71,100,15.64
181,Nikolskoye,RU,2023-03-14 15:45:40,59.7035,30.7861,42.8,99,100,12.33
182,Pallapatti,IN,2023-03-14 15:45:41,11.6593,78.1342,79.93,49,66,8.37
183,Jibuti,DJ,2023-03-14 15:45:41,11.5,42.5,75.0,68,8,11.25
184,Dali,CN,2023-03-14 15:45:41,25.7,100.1833,50.7,49,4,5.82
185,Bedesa,ET,2023-03-14 15:45:42,8.9,40.7833,66.99,74,96,2.53
186,Guerrero Negro,MX,2023-03-14 15:45:42,27.9769,-114.0611,62.24,74,5,5.91
187,East London,ZA,2023-03-14 15:45:42,-33.0153,27.9116,76.14,83,75,8.05
188,Mitsamiouli,KM,2023-03-14 15:45:43,-11.3847,43.2844,81.54,70,100,2.37
189,Darnah,LY,2023-03-14 15:45:43,32.767,22.6367,58.53,69,0,15.7
190,Siderno,IT,2023-03-14 15:45:43,38.2779,16.302,69.33,73,99,9.15
191,Tazovskiy,RU,2023-03-14 15:45:44,67.4667,78.7,24.46,83,100,14.29
192,Tevaitoa,PF,2023-03-14 15:45:44,-16.7833,-151.5,81.79,73,72,2.62
193,San Patricio,US,2023-03-14 15:45:44,28.017,-97.5169,66.07,62,99,16.42
194,Hobart,AU,2023-03-14 15:45:45,-42.8794,147.3294,59.05,89,59,3.44
195,Constantine,DZ,2023-03-14 15:45:45,36.365,6.6147,63.81,55,20,20.71
196,Norman Wells,CA,2023-03-14 15:45:46,65.282,-126.8329,-9.36,77,75,4.61
197,Avera,US,2023-03-14 15:45:46,33.194,-82.5271,47.91,43,11,6.49
198,Kastamonu,TR,2023-03-14 15:45:46,41.5,33.6667,43.86,76,32,3.85
199,Sao Joao Da Barra,BR,2023-03-14 15:45:47,-21.6403,-41.0511,89.69,71,62,10.33
200,Gushikawa,JP,2023-03-14 15:45:47,26.3544,127.8686,66.2,91,20,3.44
201,Mont-Dore,NC,2023-03-14 15:45:47,-22.2833,166.5833,73.38,83,21,7.38
202,Asilah,MA,2023-03-14 15:45:48,35.465,-6.0348,64.36,64,1,13.56
203,Bambous Virieux,MU,2023-03-14 15:45:48,-20.3428,57.7575,79.21,69,75,10.36
204,Ponta Do Sol,PT,2023-03-14 15:45:48,32.6667,-17.1,72.72,70,93,4.92
205,Burnie,AU,2023-03-14 15:45:49,-41.0667,145.9167,61.45,94,21,4.32
206,Esperance,AU,2023-03-14 15:45:49,-33.8667,121.9,64.98,88,30,4.5
207,Coos Bay,US,2023-03-14 15:43:09,43.3665,-124.2179,37.92,99,0,0.0
208,Krasnooktyabrskiy,RU,2023-03-14 15:45:49,44.9328,38.3712,49.08,74,99,8.01
209,Nanakuli,US,2023-03-14 15:45:50,21.3906,-158.1547,76.95,91,40,10.36
210,Rawson,AR,2023-03-14 15:45:50,-43.3002,-65.1023,86.2,23,48,24.09
211,Manado,ID,2023-03-14 15:45:50,1.487,124.8455,75.97,94,40,2.3
212,Kyrylivka,UA,2023-03-14 15:45:51,46.3759,35.3675,41.81,81,82,15.99
213,Kazanskoye,RU,2023-03-14 15:45:51,55.6448,69.235,32.88,99,100,7.94
214,Carbonia,IT,2023-03-14 15:44:28,39.1672,8.5222,61.75,70,9,18.25
215,Diego De Almagro,CL,2023-03-14 15:45:51,-26.3667,-70.05,77.29,40,17,8.23
216,Kralendijk,BQ,2023-03-14 15:45:52,12.15,-68.2667,84.18,65,75,18.41
217,Sorocaba,BR,2023-03-14 15:45:02,-23.5017,-47.4581,78.8,72,97,1.74
218,Aklavik,CA,2023-03-14 15:45:52,68.2191,-135.0107,-17.77,98,100,3.8
219,Kemin,KG,2023-03-14 15:45:53,42.7846,75.6892,44.08,61,8,2.62
220,Souillac,MU,2023-03-14 15:45:53,-20.5167,57.5167,79.18,69,75,10.36
221,Novichikha,RU,2023-03-14 15:45:53,52.204,81.3877,19.09,94,13,5.75
222,Luang Prabang,LA,2023-03-14 15:45:54,19.8856,102.1347,73.63,53,20,2.13
223,Arraial Do Cabo,BR,2023-03-14 15:45:54,-22.9661,-42.0278,89.56,62,20,16.11
224,Huilong,CN,2023-03-14 15:45:54,31.8111,121.655,49.93,84,0,17.6
225,Torbay,CA,2023-03-14 15:45:55,47.6666,-52.7314,35.38,73,75,13.8
226,Naze,JP,2023-03-14 15:45:55,28.3667,129.4833,63.52,64,7,14.03
227,Ozinki,RU,2023-03-14 15:45:55,51.1786,49.6769,35.91,48,62,4.61
228,Leninsk,RU,2023-03-14 15:45:56,48.7119,45.1994,40.1,48,38,8.41
229,Huarmey,PE,2023-03-14 15:45:56,-10.0681,-78.1522,75.63,89,100,7.54
230,Carnarvon,AU,2023-03-14 15:45:56,-24.8667,113.6333,77.2,76,0,20.65
231,Clyde River,CA,2023-03-14 15:45:57,70.4692,-68.5914,-12.77,77,20,8.05
232,Hofn,IS,2023-03-14 15:45:57,64.2539,-15.2082,24.17,54,0,24.74
233,Haines Junction,CA,2023-03-14 15:45:57,60.7522,-137.5108,-14.85,76,100,0.0
234,Richards Bay,ZA,2023-03-14 15:45:32,-28.783,32.0377,75.43,79,7,8.59
235,Georgetown,MY,2023-03-14 15:44:55,5.4112,100.3354,84.15,74,20,4.61
236,Verkhovazhye,RU,2023-03-14 15:45:58,60.7472,42.0465,35.33,98,100,15.64
237,Santa Helena De Goias,BR,2023-03-14 15:45:59,-17.8136,-50.5969,72.52,86,100,4.18
238,Yar-Sale,RU,2023-03-14 15:46:01,66.8333,70.8333,20.91,88,95,23.38
239,Miraflores,MX,2023-03-14 15:46:01,19.2167,-98.8083,62.02,37,55,3.74
240,Ryotsu,JP,2023-03-14 15:46:01,38.0833,138.4333,43.38,69,5,5.03
241,Newport,GB,2023-03-14 15:43:58,51.5877,-2.9984,50.07,64,80,18.79
242,Grand Gaube,MU,2023-03-14 15:46:02,-20.0064,57.6608,79.38,67,42,7.0
243,Bairiki,KI,2023-03-14 15:46:03,1.3292,172.9752,80.6,83,20,13.8
244,Tamandare,BR,2023-03-14 15:42:08,-8.7597,-35.1047,84.69,57,100,8.79
245,Bengkulu,ID,2023-03-14 15:46:04,-3.8004,102.2655,75.69,91,86,4.74
246,Ramsar,IR,2023-03-14 15:46:05,36.9226,50.6426,51.24,87,100,2.3
247,Fort Nelson,CA,2023-03-14 15:45:07,58.8053,-122.7002,8.19,90,75,4.61
248,Deutschlandsberg,AT,2023-03-14 15:46:06,46.8153,15.2222,58.77,53,100,3.89
249,Deputatskiy,RU,2023-03-14 15:46:06,69.3,139.9,-17.25,81,98,3.87
250,Altay,CN,2023-03-14 15:46:07,47.8667,88.1167,28.06,60,21,8.16
251,Bonthe,SL,2023-03-14 15:46:07,7.5264,-12.505,86.09,62,23,13.73
252,Visnes,NO,2023-03-14 15:46:08,59.3556,5.2242,38.82,65,40,21.85
253,Ribeira Grande,PT,2023-03-14 15:46:08,38.5167,-28.7,61.2,94,75,25.99
254,Punakha,BT,2023-03-14 15:46:09,27.5837,89.8598,55.96,90,83,0.83
255,Magalia,US,2023-03-14 15:46:09,39.8121,-121.5783,47.75,96,100,9.4
256,Praia Da Vitoria,PT,2023-03-14 15:46:10,38.7333,-27.0667,63.75,100,40,31.18
257,Zaragoza,ES,2023-03-14 15:46:10,41.6561,-0.8773,65.01,34,20,25.01
258,Hasaki,JP,2023-03-14 15:46:11,35.7333,140.8333,44.22,61,4,8.95
259,Garden City,US,2023-03-14 15:45:30,42.3256,-83.331,29.17,62,40,21.85
260,Luganville,VU,2023-03-14 15:46:11,-15.5333,167.1667,77.14,90,95,6.38
261,Upata,VE,2023-03-14 15:46:12,8.0086,-62.3989,85.19,30,100,8.77
262,Oyama,JP,2023-03-14 15:46:12,36.3,139.8,47.84,59,4,1.72
263,Kununurra,AU,2023-03-14 15:46:13,-15.7667,128.7333,75.18,73,0,0.0
264,Avanigadda,IN,2023-03-14 15:46:13,16.0215,80.9181,77.61,69,0,9.82
